title,type,country,release_year,rating
Bruno and Boots: The Wizzle War,0,51,0.23616699168720753,10
Bruno and Boots: This Can't Be Happening at Macdonald Hall,0,51,0.23616699168720753,10
Bucket List,0,229,0.5384916518328648,7
Budapest,0,150,0.5384916518328648,9
Buddha,1,669,-0.9731316488954218,10
Buddi,1,476,1.1431409721241794,11
Buddies,0,39,-1.275456309041079,9
Buddy Thunderstruck,1,549,0.23616699168720753,12
Buddy Thunderstruck: The Maybe Pile,0,549,0.23616699168720753,12
45 rpm,1,403,0.8408163119785221,9
Budhia Singh: Born to Run,0,229,-0.0661576684584498,9
Buffalo Boys,0,251,0.5384916518328648,9
Bugs,0,321,-0.0661576684584498,8
Bulbbul,0,229,1.1431409721241794,9
Bulbul Can Sing,0,229,0.5384916518328648,7
Bullet Head,0,47,0.23616699168720753,6
Bulletproof 2,0,549,1.1431409721241794,9
Bullitt County,0,549,0.5384916518328648,9
Bully,0,549,-1.275456309041079,5
Bumping Mics with Jeff Ross & Dave Attell,1,549,0.5384916518328648,9
48 Christmas Wishes,0,51,0.23616699168720753,8
Bunk'd,1,549,1.1431409721241794,8
"Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija",1,669,0.23616699168720753,10
Burlesque,0,549,-1.8801056293323937,5
Burlesque: Heart of the Glitter Tribe,0,549,0.23616699168720753,9
Burn Out,0,150,0.23616699168720753,9
Burning,0,400,0.5384916518328648,9
Burning Cane,0,549,0.8408163119785221,9
Burning Sands,0,549,0.23616699168720753,9
Burnistoun,1,462,-1.275456309041079,9
4L,0,403,0.8408163119785221,9
Bushwick,0,549,0.23616699168720753,9
Busted!,1,394,0.8408163119785221,7
Buster's Mal Heart,0,549,-0.0661576684584498,9
BuyBust,0,350,0.5384916518328648,9
Bwakaw,0,351,-1.275456309041079,9
By the Sea,0,175,-0.3684823286041071,6
Bygones Be Bygones,0,448,0.23616699168720753,9
Bypass Road,0,229,0.8408163119785221,7
4th Man Out,0,549,-0.3684823286041071,2
C Kkompany,0,229,-2.4847549496237082,7
Cézanne et moi,0,35,-0.0661576684584498,6
Cabin Fever,0,549,-0.0661576684584498,6
Cabins in the Wild with Dick Strawbridge,1,462,0.23616699168720753,10
Cable Girls,1,403,0.8408163119785221,9
Cadaver,0,332,1.1431409721241794,9
Cagaster of an Insect Cage,1,291,1.1431409721241794,9
Cahaya Dari Timur Beta Maluku,0,249,-0.6708069887497644,7
Caida del Cielo,0,0,-0.0661576684584498,9
Cain and Abel,1,394,-2.182430289478051,9
4th Republic,0,330,0.8408163119785221,9
Cake,0,522,0.5384916518328648,9
Calendar Girls,0,229,-0.3684823286041071,7
Calibre,0,462,0.5384916518328648,9
Calico Critters,1,669,0.5384916518328648,11
Calico Critters Mini Episodes Clover,1,669,1.1431409721241794,11
Calico Critters: A Town of Dreams,0,669,0.23616699168720753,11
Calico Critters: Everyone's Big Dream Flying in the Sky,0,669,0.8408163119785221,11
Calico Critters: The Treasure of Calico Village,0,669,0.23616699168720753,11
Caliphate,1,428,1.1431409721241794,9
5 Cowok Jagoan,0,669,0.23616699168720753,9
Call Me Francis,1,276,-0.0661576684584498,7
Call My Agent!,1,147,0.5384916518328648,9
Call the Midwife,1,462,1.1431409721241794,9
Calum von Moger: Unbroken,0,549,0.8408163119785221,9
Cam,0,549,0.5384916518328648,9
